"TickerNo se encontraron coincidencias  (i)","Precio","Vol.","Volumen*Precio","Fecha reciente de beneficios","Próxima fecha de beneficios","Capitalización de mercado","Cambio a partir del porcentaje de apertura","Cambio %","Rating técnico","Valoración de medias móviles","Valoración de los osciladores","Vol relativo","Patrón","Gross Profit (Annual YoY Growth)","Gross Profit (Quarterly QoQ Growth)","Gross Profit (Quarterly YoY Growth)","Gross Profit (TTM YoY Growth)","Margen bruto","Margen neto","Ingresos","Ingresos","Ingresos anuales","BPA (TTM)","Previsión BPA","EBITDA (TTM YoY Growth)","RSI14","Nivel MACD","Volatilidad S","Volatilidad","Rendimiento trimestral","Rendimiento anual","Rendimiento semestral","Rendimiento mensual","Rendimiento semanal","Rend. YTD"
"GCCDGRUPO CEMENTOS DE CHIHUAHUA https://s3-symbol-logo.tradingview.com/gcc-sab-de-cv.svg","127.93MXN","269.972K","34.538M","2022-10-25","2023-02-15","41.507BMXN","3.17%","3.99%","Buy","Strong Buy","Buy","0.52","—","9.31%","18.84%","8.47%","9.65%","31.00%","14.54%","3.081BMXN","21.077BMXN","21.077BMXN","10.21MXN","2.57MXN","5.10%","63.84 N","0.92607298 B","3.53%","4.77%","5.25%","−17.21%","−9.17%","7.65%","7.92%","−18.54%"
"GFNORTE/ODGRUPO FINANCIERO BANORTE https://s3-symbol-logo.tradingview.com/banorte.svg","163.48MXN","5.985M","978.442M","2022-10-25","2023-01-26","464.381BMXN","1.47%","1.51%","Strong Buy","Strong Buy","Buy","0.52","—","—","—","—","—","—","13.93%","35.048BMXN","214.994BMXN","214.994BMXN","14.87MXN","4.03MXN","—","71.23 N","7.48135999 B","3.60%","2.17%","46.30%","24.80%","16.76%","26.54%","1.79%","22.47%"
"LCIDDLUCID GROUP INC https://s3-symbol-logo.tradingview.com/lucid-group.svg","273.00MXN","418","114.114K","2022-08-03","2022-11-08","475.925BMXN","−1.97%","−5.86%","Sell","Strong Sell","Neutro","0.51","—","−1314.56%","−4.88%","—","—","−289.80%","−1030.52%","−52.981BMXN","556.786MMXN","556.786MMXN","−25.20MXN","−6.31MXN","−32009.75%","47.97 N","−4.42625178 B","3.05%","7.01%","−32.72%","−66.04%","−30.89%","−4.88%","2.25%","−65.44%"
"GENTERADGENTERA SAB DE CV https://s3-symbol-logo.tradingview.com/gentera-sab-de-cv.svg","20.49MXN","2.223M","45.54M","2022-07-27","2022-11-01","32.216BMXN","0.84%","0.64%","Buy","Strong Buy","Neutro","0.50","—","—","—","—","—","—","13.76%","2.347BMXN","25.128BMXN","25.128BMXN","2.29MXN","0.76MXN","—","78.21 N","0.86480487 B","3.19%","1.62%","23.81%","64.98%","23.36%","23.73%","7.96%","54.06%"
"MFRISCO/A-1DMINERA FRISCO SAB DE CV https://s3-symbol-logo.tradingview.com/minera-frisco-sab-de-cv.svg","2.34MXN","2.271K","5.314K","2022-10-28","2023-03-02","14.389BMXN","−0.85%","−1.68%","Sell","Strong Sell","Neutro","0.49","","131.84%","−46.58%","−28.73%","27.02%","31.74%","0.79%","−1.781BMXN","12.833BMXN","12.833BMXN","0.02MXN","−0.01MXN","—","42.34 N","−0.0490284 B","0.26%","1.71%","−19.59%","−39.53%","−33.14%","−1.68%","1.74%","−34.45%"
"AGUADGRUPO ROTOPLAS SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-rotoplas-sab-de-cv.svg","29.80MXN","215.59K","6.425M","2022-10-19","2023-02-16","16.424BMXN","−0.53%","−0.67%","Neutro","Sell","Neutro","0.49","—","15.58%","4.06%","51.09%","26.37%","41.30%","3.82%","318.035MMXN","10.915BMXN","10.915BMXN","1.00MXN","—","16.40%","49.58 N","0.09505089 S","2.75%","2.44%","4.93%","11.57%","24.06%","2.26%","0.17%","6.01%"
"ACDARCA CONTINENTAL SAB DE CV https://s3-symbol-logo.tradingview.com/arca-continental-sab-de-cv.svg","163.85MXN","1.172M","191.958M","2022-10-26","2023-02-24","283.084BMXN","0.74%","0.96%","Buy","Strong Buy","Sell","0.48","—","9.34%","6.05%","16.44%","14.28%","44.99%","7.21%","12.282BMXN","185.746BMXN","185.746BMXN","8.50MXN","2.07MXN","9.85%","80.23 N","4.91150735 B","2.72%","2.52%","16.96%","29.42%","26.08%","14.46%","8.94%","25.60%"
"PYPLDPAYPAL HOLDINGS INC https://s3-symbol-logo.tradingview.com/paypal.svg","1649.70MXN","1.996K","3.293M","2022-08-02","2022-11-03","1.919TMXN","−0.02%","−0.62%","Strong Sell","Strong Sell","Neutro","0.47","","5.74%","−0.41%","−13.22%","−2.24%","43.23%","7.82%","85.62BMXN","524.953BMXN","524.953BMXN","35.28MXN","19.35MXN","−12.36%","41.35 N","−30.0704504 B","2.20%","1.19%","−19.53%","−65.55%","−6.69%","−7.53%","−5.68%","−57.92%"
"LACOMER/UBCDLACOMER SAB DE CV https://s3-symbol-logo.tradingview.com/lacomer-sab-de-cv.svg","36.58MXN","174.984K","6.401M","2022-10-26","2023-02-22","17.684BMXN","−0.81%","−0.60%","Neutro","Buy","Neutro","0.46","—","9.25%","6.77%","19.00%","15.87%","24.32%","5.73%","1.543BMXN","28.906BMXN","28.906BMXN","1.65MXN","0.38MXN","13.48%","50.27 N","0.16004618 S","2.87%","1.87%","4.07%","−2.43%","−4.91%","−0.30%","−2.35%","−0.62%"
"DISDTHE WALT DISNEY COMPANY https://s3-symbol-logo.tradingview.com/walt-disney.svg","2090.01MXN","4.521K","9.449M","2022-08-10","2022-11-08","3.855TMXN","−1.63%","−1.08%","Neutro","Buy","Sell","0.46","—","1.24%","2.97%","44.90%","66.61%","29.13%","3.89%","41.197BMXN","1.392TMXN","1.392TMXN","34.74MXN","11.17MXN","72.05%","55.52 N","9.53238473 B","2.02%","2.15%","−3.64%","−39.90%","−10.84%","7.86%","3.72%","−34.69%"
"BSMX/BDBANCO SANTANDER MEXICO SA https://s3-symbol-logo.tradingview.com/santander.svg","22.21MXN","8.983K","199.512K","2022-10-27","2023-02-01","75.757BMXN","−3.43%","−2.59%","Buy","Buy","Neutro","0.43","","—","—","—","—","—","22.11%","20.801BMXN","127.288BMXN","127.288BMXN","5.41MXN","0.89MXN","—","53.37 N","0.42412368 B","3.71%","5.73%","4.32%","−15.29%","4.32%","11.05%","−3.43%","−5.69%"
"WFCDWELLS FARGO & COMPANY https://s3-symbol-logo.tradingview.com/wells-fargo.svg","927.00MXN","4.116K","3.816M","2022-10-14","2023-01-18","3.463TMXN","0.44%","1.31%","Buy","Strong Buy","Neutro","0.43","—","—","—","—","—","—","22.28%","442.537BMXN","1.754TMXN","1.754TMXN","78.28MXN","25.33MXN","—","66.75 N","17.00072416 B","2.16%","1.30%","2.43%","−11.85%","2.56%","13.74%","2.43%","−10.77%"
"R/ADREGIONAL SAB DE CV https://s3-symbol-logo.tradingview.com/regional-sab-de-cv.svg","139.39MXN","264.419K","36.857M","2022-10-24","2023-01-23","45.405BMXN","0.27%","0.67%","Buy","Strong Buy","Neutro","0.42","—","—","—","—","—","—","20.56%","3.556BMXN","16.966BMXN","16.966BMXN","12.50MXN","3.55MXN","—","78.38 N","5.93323617 B","3.09%","2.65%","27.92%","29.21%","10.76%","22.08%","8.80%","30.77%"
"FMTY/14DBANCO INVEX S.A. REIT https://s3-symbol-logo.tradingview.com/banco-invex-sa.svg","12.12MXN","58.897K","713.832K","—","—","15.224BMXN","−0.16%","−0.08%","Sell","Strong Sell","Neutro","0.39","—","—","—","—","—","—","—","—","—","—","—","—","—","43.11 N","−0.01540197 S","0.53%","0.33%","1.08%","1.08%","−2.26%","−0.90%","−0.16%","−1.22%"
"CMOCTEZDCORPORACIÓN MOCTEZUMA https://s3-symbol-logo.tradingview.com/corporacion-moctezuma-sab-de-cv.svg","58.99MXN","7.012K","413.638K","2022-10-26","2023-03-01","52.12BMXN","0.12%","0.15%","Sell","Strong Sell","Buy","0.33","","7.17%","−2.13%","−4.96%","−8.96%","56.76%","27.17%","4.536BMXN","15.866BMXN","15.866BMXN","4.90MXN","—","−12.71%","34.72 N","−0.99424802 B","1.36%","3.26%","−7.83%","−9.98%","−6.37%","−4.55%","1.01%","−9.94%"
"F 			 				FIBRAHD/15DBANCO ACTINVER SA REIT","2.54MXN","503","1.278K","2022-08-07","—","1.106BMXN","0.00%","−0.78%","Sell","Strong Sell","Neutro","0.32","—","−23.00%","1.60%","16.56%","−10.81%","51.62%","35.75%","143.314MMXN","524.942MMXN","524.942MMXN","0.39MXN","—","—","50.04 N","0.00391639 B","1.52%","0.79%","−7.64%","−25.29%","−3.05%","5.39%","1.20%","−20.63%"
"CVSDCVS HEALTH CORPORATION https://s3-symbol-logo.tradingview.com/cvs-health.svg","1850.00MXN","99","183.15K","2022-08-03","2022-11-02","2.468TMXN","−0.22%","−2.22%","Sell","Strong Sell","Neutro","0.31","—","9.12%","4.10%","5.42%","9.38%","17.33%","2.65%","162.45BMXN","5.996TMXN","5.996TMXN","125.00MXN","40.25MXN","7.11%","46.37 N","−26.17567457 B","0.81%","2.27%","−10.50%","−1.91%","−5.04%","−5.55%","1.81%","−12.98%"
"SHOP/NDSHOPIFY INC https://s3-symbol-logo.tradingview.com/shopify.svg","690.00MXN","793","547.17K","2022-10-27","2023-02-15","733.39BMXN","−1.43%","1.13%","Buy","Buy","Neutro","0.31","—","67.12%","1.14%","6.26%","12.85%","50.50%","−61.16%","59.859BMXN","94.715BMXN","94.715BMXN","−51.29MXN","−0.29MXN","−182.96%","64.22 N","17.32796862 B","4.68%","3.16%","−13.38%","−78.08%","−15.60%","25.48%","15.85%","−75.27%"
"CDCITIGROUP INC. https://s3-symbol-logo.tradingview.com/citigroup.svg","895.41MXN","562","503.22K","2022-10-14","2023-01-13","1.768TMXN","−2.03%","−1.68%","Neutro","Sell","Neutro","0.30","—","—","—","—","—","—","17.36%","447.671BMXN","1.646TMXN","1.646TMXN","148.05MXN","25.66MXN","—","49.72 N","−2.21602602 B","1.52%","2.50%","−16.39%","−37.52%","−14.15%","4.36%","0.05%","−29.33%"
"G 			 				GENIUS/21DACTINVER CASA DE BOLSA SA DE CV","38.23MXN","3.588K","137.169K","—","—","—","−1.27%","−1.11%","Sell","Strong Sell","Neutro","0.30","—","—","—","—","—","—","—","—","—","—","—","—","—","46.28 N","−0.41297169 B","1.93%","1.84%","−19.36%","−38.34%","−17.78%","−1.97%","−0.62%","−39.40%"
"KODCOCA-COLA CO https://s3-symbol-logo.tradingview.com/coca-cola.svg","1175.00MXN","1.186K","1.394M","2022-10-25","2023-02-09","5.138TMXN","−0.93%","−0.93%","Neutro","Neutro","Neutro","0.28","—","22.55%","−1.44%","4.58%","6.22%","58.54%","23.38%","200.67BMXN","795.326BMXN","795.326BMXN","46.24MXN","8.89MXN","−4.45%","54.63 N","3.42642345 B","0.77%","1.20%","−10.75%","1.47%","−9.62%","1.74%","1.17%","−2.89%"
"AMCDAMC ENTERTAINMENT HOLDINGS INC https://s3-symbol-logo.tradingview.com/amc-entertainment-holdings.svg","121.88MXN","5.167K","629.754K","2022-08-04","2022-11-08","69.007BMXN","−6.62%","−6.61%","Strong Sell","Strong Sell","Sell","0.25","—","142.44%","152.25%","953.74%","225.84%","20.80%","−21.03%","−26.064BMXN","51.916BMXN","51.916BMXN","−31.97MXN","−4.21MXN","108.80%","38.19 N","−8.68241161 B","7.59%","11.11%","−45.97%","−73.92%","−38.62%","−14.78%","−3.65%","−66.05%"
"BABA/NDALIBABA GROUP HOLDING LTD DR https://s3-symbol-logo.tradingview.com/alibaba.svg","1301.26MXN","3.23K","4.203M","2022-08-04","2022-11-04","3.29TMXN","−2.01%","3.11%","Sell","Strong Sell","Neutro","0.25","—","8.93%","14.19%","−8.06%","3.78%","34.76%","3.71%","191.986BMXN","2.643TMXN","2.643TMXN","36.90MXN","33.25MXN","−1.16%","35.05 N","−107.57685348 S","4.80%","5.69%","−31.51%","−61.73%","−33.70%","−18.94%","−0.67%","−46.79%"
"MUDMICRON TECHNOLOGY INC https://s3-symbol-logo.tradingview.com/micron-technology.svg","1083.00MXN","444","480.852K","2022-09-29","2022-12-20","1.167TMXN","1.12%","1.59%","Neutro","Neutro","Buy","0.23","—","35.04%","−33.41%","−32.41%","34.54%","45.18%","28.24%","175.18BMXN","620.259BMXN","620.259BMXN","157.39MXN","1.28MXN","29.77%","50.55 N","−0.30134327 B","2.23%","1.59%","−17.20%","−24.69%","−24.74%","7.44%","−4.16%","−44.62%"
"AAPLDAPPLE INC https://s3-symbol-logo.tradingview.com/apple.svg","2975.00MXN","13.066K","38.871M","2022-10-27","2023-01-26","48.421TMXN","−1.29%","−1.96%","Neutro","Neutro","Neutro","0.22","—","9.10%","6.29%","5.74%","8.23%","43.31%","25.31%","2.012TMXN","7.95TMXN","7.95TMXN","123.88MXN","41.36MXN","4.93%","50.95 N","−0.07164132 B","3.59%","2.98%","−10.37%","−3.60%","−9.37%","4.79%","0.20%","−18.58%"
"VALUEGF/ODVALUE GRUPO FINANCIERO SAB DE CV https://s3-symbol-logo.tradingview.com/value-grupo-financiero-sab-de-cv.svg","104.61MXN","3.201K","334.857K","—","—","17.272BMXN","−0.37%","−3.09%","Neutro","Neutro","Neutro","0.21","—","74.96%","118.38%","−79.99%","41.87%","26.22%","−8.81%","703.193MMXN","3.125BMXN","3.125BMXN","−1.03MXN","—","−160.17%","49.20 N","0.76464685 S","1.69%","5.57%","10.00%","6.73%","16.23%","0.56%","0.25%","−12.83%"
"PLUGDPLUG POWER INC https://s3-symbol-logo.tradingview.com/plug-power.svg","322.39MXN","277","89.302K","2022-08-09","2022-11-10","183.748BMXN","2.02%","2.02%","Sell","Strong Sell","Buy","0.19","—","−128.14%","6.99%","18.52%","−144.75%","−31.05%","−105.26%","−9.446BMXN","10.317BMXN","10.317BMXN","−21.96MXN","−4.78MXN","−148.47%","32.05 N","−39.16395683 B","2.79%","2.51%","−31.41%","−60.32%","−26.56%","−25.55%","−2.16%","−45.36%"
"TMM/ADGRUPO TMM S.A.B. https://s3-symbol-logo.tradingview.com/grupo-tmm-sab.svg","2.41MXN","448","1.08K","2022-10-28","2023-02-28","245.239MMXN","0.00%","0.42%","Buy","Strong Buy","Buy","0.19","—","111.08%","−5.61%","−6.65%","101.91%","6.31%","−3.96%","−242.572MMXN","1.352BMXN","1.352BMXN","−0.68MXN","—","297.45%","59.97 N","0.02494468 B","1.72%","0.41%","5.70%","−8.02%","−4.37%","12.09%","0.42%","−11.40%"
"TAL/NDTAL EDUCATION GROUP DR https://s3-symbol-logo.tradingview.com/tal-education.svg","96.19MXN","332","31.935K","2022-10-28","2023-01-26","60.567BMXN","−2.83%","2.11%","Buy","Strong Buy","Neutro","0.15","—","−12.46%","33.82%","−68.83%","−57.32%","55.62%","−12.12%","−23.265BMXN","89.917BMXN","89.917BMXN","−7.88MXN","−0.46MXN","—","57.39 N","−2.77281216 B","6.75%","5.02%","−2.35%","10.56%","27.44%","1.25%","44.65%","19.49%"
"SBUXDSTARBUCKS CORP https://s3-symbol-logo.tradingview.com/starbucks.svg","1724.97MXN","112","193.197K","2022-08-02","2022-11-03","1.972TMXN","0.87%","0.87%","Neutro","Sell","Neutro","0.15","—","93.07%","26.30%","−9.66%","16.43%","20.74%","13.04%","86.716BMXN","600.066BMXN","600.066BMXN","72.00MXN","14.56MXN","15.57%","48.15 N","−9.60908424 S","1.72%","1.64%","−1.09%","−20.62%","8.49%","0.11%","2.70%","−28.63%"
"HERDEZDGRUPO HERDEZ https://s3-symbol-logo.tradingview.com/grupo-herdez-sab-de-cv.svg","39.20MXN","66.236K","2.596M","2022-10-19","2023-02-23","14.18BMXN","−1.31%","−1.95%","Buy","Strong Buy","Sell","0.15","—","7.86%","−0.97%","11.47%","17.60%","33.21%","2.30%","725.73MMXN","26.153BMXN","26.153BMXN","2.01MXN","1.01MXN","21.75%","70.46 S","1.30448602 B","4.86%","5.58%","30.75%","3.16%","25.92%","8.89%","11.17%","−3.07%"
"DANHOS/13DBANCO NACIONAL DE MEXICO S.A. REIT https://s3-symbol-logo.tradingview.com/banco-nacional-de-mexico-sa.svg","24.48MXN","110.318K","2.701M","2022-10-19","2023-02-16","37.522BMXN","−0.08%","−0.08%","Buy","Strong Buy","Sell","0.14","","−13.33%","−0.80%","11.70%","16.48%","70.70%","60.27%","2.805BMXN","4.766BMXN","4.766BMXN","2.34MXN","0.62MXN","16.49%","59.40 N","0.15793495 B","1.29%","0.41%","4.39%","−2.31%","5.47%","1.12%","1.92%","2.86%"
"FIHO/12DDEUTSCHE BANK MEXICO S.A. REIT https://s3-symbol-logo.tradingview.com/deutsche-bank-mexico-sa.svg","7.97MXN","16.307K","129.967K","2022-10-19","2023-02-28","6.255BMXN","0.13%","0.13%","Neutro","Neutro","Neutro","0.14","—","180.62%","35.26%","90.34%","127.98%","57.72%","7.29%","−54.17MMXN","3.109BMXN","3.109BMXN","0.37MXN","0.17MXN","270.47%","48.63 N","−0.05894962 B","1.98%","1.91%","−0.38%","34.18%","−9.43%","−3.86%","1.53%","38.85%"
"BACHOCO/BDINDUSTRIAS BACHOCO SAB DE CV https://s3-symbol-logo.tradingview.com/industrias-bachoco.svg","81.41MXN","98.98K","8.058M","2022-10-24","2023-02-01","48.546BMXN","0.39%","0.62%","Strong Buy","Strong Buy","Neutro","0.13","—","20.37%","−44.74%","25.21%","16.58%","17.69%","6.96%","5.066BMXN","81.699BMXN","81.699BMXN","11.21MXN","1.11MXN","9.36%","63.87 N","0.53931501 S","0.68%","1.16%","6.32%","10.55%","5.73%","4.91%","−0.11%","11.83%"
"WISHDCONTEXTLOGIC INC https://s3-symbol-logo.tradingview.com/contextlogic.svg","15.40MXN","158","2.433K","2022-08-09","2022-11-09","10.413BMXN","−1.91%","0.92%","Sell","Sell","Buy","0.13","—","−29.78%","−33.54%","−88.94%","−76.14%","39.92%","−27.84%","−7.414BMXN","42.368BMXN","42.368BMXN","−8.40MXN","−3.59MXN","—","43.12 N","−1.21831838 B","5.65%","4.81%","−53.82%","−85.28%","−56.62%","−8.39%","1.32%","−75.94%"
"ATOSDATOSSA THERAPEUTICS INC https://s3-symbol-logo.tradingview.com/atossa-therapeutics.svg","19.00MXN","52","988","2022-08-08","2022-11-15","2.476BMXN","−1.45%","−4.95%","Neutro","Buy","Neutro","0.12","—","49.13%","−1.27%","65.08%","67.20%","—","—","−423.191MMXN","0MXN","0MXN","−3.42MXN","−1.11MXN","−18.25%","58.19 N","0.49621526 B","2.53%","5.21%","−5.00%","−64.15%","−5.00%","11.76%","4.97%","−39.68%"
"NVAXDNOVAVAX INC https://s3-symbol-logo.tradingview.com/novavax.svg","450.00MXN","114","51.3K","2022-08-08","2022-11-03","34.576BMXN","−3.64%","0.80%","Neutro","Sell","Neutro","0.11","—","—","−113.64%","—","—","—","−114.32%","−35.812BMXN","23.542BMXN","23.542BMXN","−390.05MXN","31.62MXN","−51.72%","50.93 N","−14.07802368 B","2.89%","4.59%","−62.66%","−86.03%","−62.71%","18.42%","4.41%","−84.75%"
"FUBODFUBOTV INC https://s3-symbol-logo.tradingview.com/fubotv.svg","72.00MXN","86","6.192K","2022-08-04","2022-11-04","13.462BMXN","0.70%","−1.37%","Sell","Strong Sell","Neutro","0.11","—","15.46%","32.19%","−116.42%","−59.25%","−10.17%","−55.73%","−7.862BMXN","13.11BMXN","13.11BMXN","−60.81MXN","−14.64MXN","−65.79%","44.06 N","−2.25431445 S","1.44%","2.53%","23.27%","−88.92%","−21.14%","−2.83%","5.49%","−77.66%"
"VASCONIDGRUPO VASCONIA S.A.B. https://s3-symbol-logo.tradingview.com/grupo-vasconia-sab.svg","11.70MXN","1.845K","21.587K","2022-07-28","—","1.16BMXN","−1.68%","−2.50%","Strong Sell","Strong Sell","Sell","0.11","","107.40%","−27.45%","−34.81%","20.07%","19.45%","2.74%","166.864MMXN","4.872BMXN","4.872BMXN","1.60MXN","—","−1.52%","10.27 N","−0.69917893 S","1.18%","2.56%","−20.35%","−55.33%","−51.23%","−19.03%","−4.88%","−56.65%"
"GMXTDGMEXICO TRANSPORTES SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-mexico-sab-de-cv.svg","37.00MXN","59.236K","2.192M","2022-10-24","2023-01-25","161.076BMXN","0.46%","0.38%","Strong Buy","Strong Buy","Buy","0.10","—","15.67%","16.25%","14.61%","13.24%","36.64%","16.48%","7.574BMXN","51.173BMXN","51.173BMXN","2.13MXN","0.54MXN","10.05%","70.15 N","0.97798314 B","5.96%","1.88%","10.45%","12.98%","−4.57%","11.48%","11.04%","6.41%"
"BRKBDBERKSHIRE HATHAWAY INC https://s3-symbol-logo.tradingview.com/berkshire-hathaway.svg","5832.00MXN","44","256.608K","2022-08-06","2022-11-01","13.043TMXN","0.00%","−0.39%","Buy","Strong Buy","Sell","0.09","—","16.55%","18.69%","13.54%","10.31%","19.73%","4.04%","1.844TMXN","5.67TMXN","5.67TMXN","100.95MXN","56.56MXN","15.11%","59.64 N","79.54844952 B","0.30%","0.39%","−3.76%","−2.25%","−9.71%","6.04%","2.14%","−6.66%"
"XOMDEXXON MOBIL CORPORATION https://s3-symbol-logo.tradingview.com/exxon.svg","2190.00MXN","2.425K","5.311M","2022-10-28","2023-01-31","9.167TMXN","−0.45%","−0.45%","Buy","Strong Buy","Sell","0.08","—","116.76%","−7.80%","43.11%","70.24%","25.23%","13.25%","473.178BMXN","5.761TMXN","5.761TMXN","247.10MXN","66.24MXN","119.26%","69.23 N","74.29276417 B","0.88%","0.96%","12.42%","64.91%","18.38%","23.45%","3.50%","69.67%"
"TCEHY/NDTENCENT HOLDINGS LIMITED DR https://s3-symbol-logo.tradingview.com/tencent.svg","563.00MXN","631","355.253K","2022-08-17","2022-11-16","4.951TMXN","2.32%","6.70%","Sell","Strong Sell","Neutro","0.08","","22.19%","−1.55%","−12.71%","−7.38%","38.50%","31.87%","715.92BMXN","1.784TMXN","1.784TMXN","57.99MXN","9.00MXN","−11.06%","38.62 N","−46.72085371 S","1.26%","6.43%","−27.03%","−54.98%","−39.18%","−19.57%","12.60%","−51.93%"
"ICH/BDINDUSTRIAS CH SAB DE CV https://s3-symbol-logo.tradingview.com/industrias-ch-sab-de-cv.svg","218.97MXN","808","176.928K","2022-10-27","2023-03-01","95.483BMXN","0.12%","0.12%","Sell","Sell","Neutro","0.08","—","140.15%","−32.67%","−22.11%","16.83%","28.38%","15.03%","9.426BMXN","62.023BMXN","62.023BMXN","24.44MXN","5.63MXN","15.74%","47.43 N","−1.4283769 S","2.53%","0.12%","−0.47%","25.48%","5.78%","−5.03%","1.30%","12.49%"
"XPEV/NDXPENG INC DR https://s3-symbol-logo.tradingview.com/xpeng.svg","127.44MXN","5.241K","667.913K","2022-08-23","2022-11-17","109.344BMXN","−1.97%","−3.82%","Sell","Strong Sell","Neutro","0.08","—","790.24%","−13.60%","78.19%","238.05%","12.23%","−24.86%","−15.486BMXN","66.834BMXN","66.834BMXN","−26.61MXN","−6.86MXN","—","23.57 N","−37.08091104 B","4.46%","4.74%","−73.99%","−87.09%","−74.25%","−46.90%","−14.37%","−87.86%"
"GFAMSA/ADGRUPO FAMSA SAB DE CV https://s3-symbol-logo.tradingview.com/grupo-famsa-sab-de-cv.svg","0.885MXN","388.157K","343.519K","2022-07-28","2022-11-01","522.013MMXN","−2.75%","−3.38%","Sell","Strong Sell","Neutro","0.08","","−61.04%","−16.75%","−48.89%","1829.02%","20.12%","−83.02%","−3.96BMXN","3.616BMXN","3.616BMXN","−4.25MXN","—","78.78%","16.25 N","−0.09306947 S","11.75%","17.44%","−37.23%","132.28%","−47.32%","−26.25%","−18.81%","32.09%"
"NCLH/NDNORWEGIAN CRUISE LINE HLDGS LTD https://s3-symbol-logo.tradingview.com/norwegian-cruise-line.svg","333.27MXN","2.846K","948.486K","2022-08-09","2022-11-08","141.277BMXN","−3.12%","−1.11%","Buy","Strong Buy","Sell","0.07","","−54.02%","73.73%","74.38%","6.58%","−57.47%","−166.44%","−92.553BMXN","13.308BMXN","13.308BMXN","−198.72MXN","−14.32MXN","−17.01%","67.17 N","15.94005941 B","3.41%","3.30%","27.22%","−36.52%","−13.44%","25.20%","10.17%","−21.77%"
"DKNG1DDRAFTKINGS INC NEW https://s3-symbol-logo.tradingview.com/draftkings.svg","325.00MXN","63","20.475K","2022-08-05","2022-11-04","140.677BMXN","0.31%","3.16%","Strong Buy","Strong Buy","Buy","0.07","","93.05%","49.64%","40.29%","19.71%","33.10%","−99.15%","−31.282BMXN","26.617BMXN","26.617BMXN","−76.20MXN","−19.48MXN","−36.79%","57.92 N","−4.29425916 B","2.67%","3.11%","1.56%","14.04%","14.04%","3.99%","28.97%","14.04%"
"SORIANA/BDORGANIZACION SORIANA SAB DE CV https://s3-symbol-logo.tradingview.com/organizacion-soriana-sab-de-cv.svg","30.28MXN","3.669K","111.097K","2022-10-26","2023-02-24","54.396BMXN","−0.20%","0.20%","Buy","Strong Buy","Neutro","0.07","—","−0.20%","−2.22%","10.23%","8.45%","20.08%","2.92%","4.331BMXN","155.247BMXN","155.247BMXN","2.66MXN","0.95MXN","7.78%","81.08 N","1.26987717 B","2.46%","0.93%","32.81%","22.24%","36.70%","15.57%","8.49%","15.57%"
